식품명,대분류,소분류,기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),식품중량
오징어탕수,서브 반찬,튀김류,100ml,247.0,20.31,17.13,10.27,8.44,1.0,332.0,105.0
오징어튀김,서브 반찬,튀김류,100ml,81.0,3.83,5.2,4.69,0.05,0.1,151.0,100.0
오징어조림,메인 반찬,조림류,100ml,61.0,5.48,8.17,0.66,1.61,0.8,287.0,153.0
오징어찌개,국,찌개 및 전골류,100ml,27.0,2.37,3.62,0.33,1.0,0.5,230.0,348.0
오징어채무침,서브 반찬2,생채·무침류,100ml,115.5,11.65,12.92,2.3,5.8,1.7,387.5,87.5
유부 된장국,국,국 및 탕류,100ml,79.0,2.72,5.18,5.21,0.52,1.0,374.0,320.0
유부 초밥,밥,밥류,100ml,199.0,27.48,5.8,6.72,2.26,0.9,134.0,298.0
유부조림,메인 반찬,조림류,100ml,254.0,7.96,13.66,18.34,3.23,0.9,243.0,100.0
우엉조림,메인 반찬,조림류,100ml,88.0,17.89,2.71,1.05,4.75,2.9,371.0,90.0
우럭구이,메인 반찬,구이류,100ml,111.0,0.45,13.51,5.67,0.0,0.0,703.0,100.0
우엉볶음,메인 반찬,볶음류,100ml,160.0,16.34,4.12,9.08,2.75,4.9,457.0,63.0
완두콩밥,밥,밥류,100ml,157.0,33.51,3.21,0.45,0.2,1.2,1.0,229.0
완자전,서브 반찬,전·적 및 부침류,100ml,214.0,10.74,7.15,15.49,0.36,2.9,108.0,150.0
완자조림,메인 반찬,조림류,100ml,171.0,12.18,14.04,6.7,2.44,1.5,225.0,137.0
잔멸치볶음,메인 반찬,볶음류,100ml,144.2,8.78,11.16,7.06,3.89,0.54,811.6,91.8
임연수구이,메인 반찬,구이류,100ml,81.0,0.73,7.96,4.76,0.0,0.0,318.0,100.0
임연수조림,메인 반찬,조림류,100ml,91.0,4.5,9.88,3.44,2.6,0.6,222.0,148.0
임연수튀김,서브 반찬,튀김류,100ml,372.0,17.18,26.55,20.12,0.02,0.5,1236.0,71.0
육개장,국,국 및 탕류,100ml,33.33,2.11,3.46,1.33,0.62,0.8,153.0,400.0
율무밥,밥,밥류,100ml,118.0,25.56,2.23,0.17,0.01,0.3,2.0,270.0
유채나물,서브 반찬2,나물·숙채류,100ml,29.0,3.78,2.9,0.94,0.58,2.5,345.5,130.0
유채무침,서브 반찬2,생채·무침류,100ml,60.0,12.47,3.37,0.67,6.2,3.0,227.0,79.0
조기찜,메인 반찬,찜류,100ml,71.0,2.58,9.21,2.53,0.89,1.0,126.0,241.0
조기튀김,서브 반찬,튀김류,100ml,144.0,3.62,13.43,7.77,0.01,0.1,84.0,111.0
조미 김구이,메인 반찬,구이류,100ml,25.0,1.46,1.67,2.05,0.12,1.5,371.0,50.0
주먹밥,밥,밥류,100ml,135.0,25.52,2.34,2.09,0.88,0.7,105.0,291.0
조기 양념구이,메인 반찬,구이류,100ml,219.0,11.01,22.13,9.3,5.82,0.9,1633.0,69.0
조기 오븐구이,메인 반찬,구이류,100ml,39.0,0.02,5.87,1.58,0.0,0.0,33.0,80.0
조기구이,메인 반찬,구이류,100ml,90.0,0.89,7.38,6.01,0.0,0.0,269.0,100.0
조기찌개,국,찌개 및 전골류,100ml,23.0,1.93,2.45,0.64,0.59,0.7,94.0,240.0
제육볶음,메인 반찬,볶음류,100ml,126.33,8.92,11.69,4.85,4.66,1.57,323.0,225.33
조개 미역국,국,국 및 탕류,100ml,11.0,0.97,1.54,0.25,0.07,0.6,241.0,300.0
적어구이,메인 반찬,구이류,100ml,174.0,0.31,20.95,9.04,0.0,0.0,1203.0,63.0
전복죽,국,죽 및 스프류,100ml,139.0,21.66,3.65,3.63,0.13,0.6,248.0,200.0
제육(돼지고기 수육),메인 반찬,찜류,100ml,158.0,1.25,19.65,7.49,0.15,0.3,334.0,103.0
장조림,메인 반찬,조림류,100ml,114.0,4.75,11.35,5.15,1.81,0.3,323.0,250.0
재첩국,국,국 및 탕류,100ml,19.0,1.06,2.27,0.62,0.13,0.3,223.0,320.0
장어 양념구이,메인 반찬,구이류,100ml,331.0,16.91,16.52,21.42,5.14,1.7,775.0,68.0
장어매운탕,국,찌개 및 전골류,100ml,57.0,3.97,5.69,2.11,1.49,1.2,219.0,275.0
잡채밥,밥,밥류,100ml,107.0,20.43,2.78,1.3,1.4,0.7,69.0,591.0
잡곡밥,밥,밥류,100ml,129.6,27.13,2.91,0.63,0.27,1.32,1.2,330.0
잡곡죽,국,죽 및 스프류,100ml,81.0,14.21,3.46,1.17,0.48,2.4,118.0,324.0
잡채,메인 반찬,볶음류,100ml,116.5,21.27,1.82,2.83,2.33,1.3,220.0,185.0
청포묵 무침,서브 반찬2,생채·무침류,100ml,43.0,6.54,1.3,1.68,0.72,1.7,282.0,150.0
청포묵무침,서브 반찬2,생채·무침류,100ml,43.0,6.54,1.3,1.68,0.72,1.6,282.0,150.0
채소튀김,서브 반찬,튀김류,100ml,101.0,11.65,1.31,5.28,1.45,0.9,138.0,100.0
천사채무침,서브 반찬2,생채·무침류,100ml,73.0,2.95,3.27,5.51,0.65,1.3,248.0,220.0
청국장찌개,국,찌개 및 전골류,100ml,28.0,2.93,2.53,0.68,0.63,1.4,202.0,340.0
채소밥,밥,밥류,100ml,115.0,23.27,2.56,0.92,0.36,0.9,135.0,338.0
채소전,서브 반찬,전·적 및 부침류,100ml,204.0,25.38,4.67,8.58,0.86,1.6,247.0,132.0
채소죽,국,죽 및 스프류,100ml,67.5,12.82,1.6,0.96,0.86,0.95,109.0,443.0
참치강정,서브 반찬,튀김류,100ml,353.0,23.55,30.27,14.12,6.87,0.9,948.0,89.0
참치구이,메인 반찬,구이류,100ml,318.0,0.05,33.53,19.02,0.0,0.0,1130.0,64.0
참치죽,국,죽 및 스프류,100ml,59.0,8.67,2.67,1.39,0.4,0.5,155.0,600.0
참치찌개,국,찌개 및 전골류,100ml,42.0,3.05,5.4,0.97,1.28,0.8,306.0,348.0
참나물 겉절이,서브 반찬2,생채·무침류,100ml,17.5,2.66,0.78,0.66,0.79,1.2,123.5,120.0
참나물 무침,서브 반찬2,생채·무침류,100ml,15.0,1.85,0.71,0.71,0.14,1.0,99.0,50.0
참나물겉절이,서브 반찬2,생채·무침류,100ml,18.0,2.91,0.74,0.6,1.1,1.2,143.0,190.0
참치 미역국,국,국 및 탕류,100ml,28.0,0.75,2.69,1.75,0.0,0.6,250.0,320.0
참치 샐러드,서브 반찬2,생채·무침류,100ml,200.0,2.96,10.84,16.18,1.96,0.8,151.0,101.0
참나물,서브 반찬2,나물·숙채류,100ml,14.0,1.94,0.72,0.56,0.2,1.1,129.0,200.0
차조밥,밥,밥류,100ml,120.0,25.51,2.33,0.42,0.17,0.8,1.0,370.0
짬뽕밥,밥,밥류,100ml,110.0,18.13,4.48,1.84,0.48,0.6,25.0,586.0
짜사이무침,서브 반찬2,생채·무침류,100ml,43.0,3.66,0.45,3.04,2.8,0.9,947.0,50.0
짜장밥,밥,밥류,100ml,139.0,26.19,3.74,1.81,1.73,1.3,263.0,450.0
죽순볶음,메인 반찬,볶음류,100ml,133.0,6.19,4.27,10.85,1.48,3.7,1.0,58.0
쥐포무침,서브 반찬2,생채·무침류,100ml,298.0,32.77,26.07,7.41,21.73,1.1,1381.0,31.0
쥐포조림,메인 반찬,조림류,100ml,194.0,23.06,19.04,2.97,15.01,0.2,602.0,45.0
치커리 겉절이,서브 반찬2,생채·무침류,100ml,22.0,3.5,0.72,0.73,1.88,1.0,160.0,180.0
치커리겉절이,서브 반찬2,생채·무침류,100ml,22.0,3.51,0.72,0.73,1.89,1.0,160.0,180.0
치킨데리야끼,메인 반찬,구이류,100ml,117.0,10.96,15.96,0.99,4.47,2.2,371.0,151.0
취나물무침,서브 반찬2,나물·숙채류,100ml,62.0,7.98,2.25,2.98,0.7,3.3,453.5,125.0
추어탕,국,찌개 및 전골류,100ml,41.0,2.92,4.79,1.21,0.95,1.1,254.0,356.0
취나물,서브 반찬2,나물·숙채류,100ml,44.0,7.22,2.0,1.41,1.48,3.0,174.5,140.0
카레라이스,밥,밥류,100ml,99.5,18.42,2.66,1.56,1.02,0.7,61.0,600.0
콩나물국,국,국 및 탕류,100ml,7.75,0.99,0.89,0.25,0.14,0.4,175.25,302.5
콩나물 느타리무침,서브 반찬2,생채·무침류,100ml,46.0,4.31,3.08,2.8,0.59,2.0,193.0,100.0
콩나물 된장국,국,국 및 탕류,100ml,23.0,2.07,2.81,0.68,0.42,0.9,255.0,320.0
콩나물 선짓국,국,국 및 탕류,100ml,21.0,1.8,3.06,0.34,0.29,0.9,146.0,767.0
콩나물 황태국,국,국 및 탕류,100ml,30.0,0.99,4.56,0.87,0.3,0.3,129.0,300.0
콘치즈구이,메인 반찬,구이류,100ml,105.0,15.24,2.32,3.81,2.87,0.9,151.0,150.0
